name,description,location,dresscode,traffic,open_hours,special,source
Black Desert (Egypt),"The Black Desert (Arabic: الصحراء السوداء, aṣ-Ṣaḥrāʾ as-sawdāʾ) is a region of volcano-shaped and widely spaced mounds, distributed along about 30 km (19 mi) in western Egypt between the White Desert in the south and the Bahariya Oasis in the north. Most of its mounds are capped by basalt sills, giving them the characteristic black color.[1]",,,,,"The Black Desert (Arabic: الصحراء السوداء, aṣ-Ṣaḥrāʾ as-sawdāʾ) is a region of volcano-shaped and widely spaced mounds, distributed along about 30 km (19 mi) in western Egypt between the White Desert in the south and the Bahariya Oasis in the north. Most of its mounds are capped by basalt sills, giving them the characteristic black color.[1]",https://en.wikipedia.org/wiki/Black_Desert_(Egypt)
Egyptian Protectorates,"Law 102 of 1983 empowered the Prime Minister to designate certain areas to be declared as protectorates. A Prime Minister's decree defines the limits of each protected area and sets the basic principles for its management and for the preservation of its resources. Twenty four protectorates have been declared so far. Note that these are completely unrelated to colonial ""protectorates"".",,,,,"Law 102 of 1983 empowered the Prime Minister to designate certain areas to be declared as protectorates. A Prime Minister's decree defines the limits of each protected area and sets the basic principles for its management and for the preservation of its resources. Twenty four protectorates have been declared so far. Note that these are completely unrelated to colonial ""protectorates"".",https://en.wikipedia.org/wiki/Egyptian_Protectorates
Gabal Elba,"Gabal Elba (Arabic: جَبَل علْبَة Gabal ʿElba, Egyptian Arabic pronunciation: [ˈɡæbæl ˈʕelbæ], ""Box Mountain""), or Elba Mountain, is a mountain as well as a mountainous area in the Halaib Triangle of Northeast Africa. It is claimed by both Egypt and Sudan, but is under Egyptian control.",Egypt / Sudan  Northeast Africa,,,,"Gabal Elba (Arabic: جَبَل علْبَة Gabal ʿElba, Egyptian Arabic pronunciation: [ˈɡæbæl ˈʕelbæ], ""Box Mountain""), or Elba Mountain, is a mountain as well as a mountainous area in the Halaib Triangle of Northeast Africa. It is claimed by both Egypt and Sudan, but is under Egyptian control.",https://en.wikipedia.org/wiki/Gabal_Elba
Gilf Kebir National Park,"Gilf Kebir National Park (GKNP) (Arabic: محمية الجلف الكبير) is a national park located in the remote and hyper-arid New Valley Governorate, Egypt. Established in 2007, it has a surface area of 48533 km2, equal to about 5% of Egypt's territory. GKNP is delimited to the west by Libya and to the south by Sudan.[1] At present there are no human settlements or facilities inside the GKNP.","New Valley Governorate, Egypt",,,,"Gilf Kebir National Park (GKNP) (Arabic: محمية الجلف الكبير) is a national park located in the remote and hyper-arid New Valley Governorate, Egypt. Established in 2007, it has a surface area of 48533 km2, equal to about 5% of Egypt's territory. GKNP is delimited to the west by Libya and to the south by Sudan.[1] At present there are no human settlements or facilities inside the GKNP.",https://en.wikipedia.org/wiki/Gilf_Kebir_National_Park
Lake Burullus,"Lake Burullus (Arabic: بحيرة البرلس, romanized: Buḥayrat al-Burullus; Ancient Greek: λίμνη Σεβεννυτική, romanized: limnē Sebennytikē)[3] is a brackish water lake in the Nile Delta in Egypt, the name coming from Burullus town (Coptic: Ϯⲡⲁⲣⲁⲗⲓⲁ,[4] from Ancient Greek παράλιος, ""coast, seaside"" or ⲛⲓⲕⲉϫⲱⲟⲩ Nikejow). It is located in Kafr el-Sheikh Governorate east of Rosetta, bordered by the Mediterranean Sea in the north and agricultural land to the south.",,,,,"Lake Burullus (Arabic: بحيرة البرلس, romanized: Buḥayrat al-Burullus; Ancient Greek: λίμνη Σεβεννυτική, romanized: limnē Sebennytikē)[3] is a brackish water lake in the Nile Delta in Egypt, the name coming from Burullus town (Coptic: Ϯⲡⲁⲣⲁⲗⲓⲁ,[4] from Ancient Greek παράλιος, ""coast, seaside"" or ⲛⲓⲕⲉϫⲱⲟⲩ Nikejow). It is located in Kafr el-Sheikh Governorate east of Rosetta, bordered by the Mediterranean Sea in the north and agricultural land to the south.",https://en.wikipedia.org/wiki/Lake_Burullus
Lake Moeris,"Lake Moeris (Ancient Greek: Μοῖρις, genitive Μοίριδος) was an ancient endorheic freshwater lake located in the Faiyum Oasis, 80 km (50 mi) southwest of Cairo, Egypt, which persists today at a fraction of its former size as the hypersaline Lake Qarun (Arabic: بركة قارون). In prehistory it was fed intermittently by the Nile via the ancient Hawara Channel, fluctuating in level throughout the Paleolithic and Neolithic periods.[2] The prehistoric Lake Moeris spanned much of the area of the modern Faiyum Oasis, with a total area estimated at between 1,270 km2 (490 sq mi) and 1,700 km2 (660 sq mi).","Faiyum Governorate, Egypt",,,,"Lake Moeris (Ancient Greek: Μοῖρις, genitive Μοίριδος) was an ancient endorheic freshwater lake located in the Faiyum Oasis, 80 km (50 mi) southwest of Cairo, Egypt, which persists today at a fraction of its former size as the hypersaline Lake Qarun (Arabic: بركة قارون). In prehistory it was fed intermittently by the Nile via the ancient Hawara Channel, fluctuating in level throughout the Paleolithic and Neolithic periods.[2] The prehistoric Lake Moeris spanned much of the area of the modern Faiyum Oasis, with a total area estimated at between 1,270 km2 (490 sq mi) and 1,700 km2 (660 sq mi).",https://en.wikipedia.org/wiki/Lake_Moeris
Nabq Protected Area,"NABQ Protected Area (NPA) is a 600 km2 (230 mi2) protected area located in the Egypt,[2] South Sinai Governorate. It was established by the Prime Ministerial Decree no.1511/1992 and was extended by Decree 33/1996 where Dahab marine section was added to the protected area as a Dahab Environmentally Managed Area DEMA and finally having NABQ Managed Resource Protected Area which is known shortly as (NMRPA).","South Sinai Governorate, Egypt",,,,"NABQ Protected Area (NPA) is a 600 km2 (230 mi2) protected area located in the Egypt,[2] South Sinai Governorate. It was established by the Prime Ministerial Decree no.1511/1992 and was extended by Decree 33/1996 where Dahab marine section was added to the protected area as a Dahab Environmentally Managed Area DEMA and finally having NABQ Managed Resource Protected Area which is known shortly as (NMRPA).",https://en.wikipedia.org/wiki/Nabq_Protected_Area
Nile,"The Nile River is a major north-flowing river in northeastern Africa which flows into the Mediterranean Sea. At 7,088 km (4,404 mi) long, it is the longest river in the world, although the volume of water it carries is much smaller than other major rivers such as the Amazon or Congo. Its drainage basin covers portions of eleven countries: the Democratic Republic of the Congo, Tanzania, Burundi, Rwanda, Uganda, Kenya, Ethiopia, Eritrea, South Sudan, Sudan, and Egypt. It plays an important economic role in the economy of these nations, and it is the primary water source for South Sudan, Sudan and Egypt.",Nile Delta into Mediterranean Sea,,,,,https://en.wikipedia.org/wiki/Nile
Ras Muhammad National Park,"Ras Muhammad (Egyptian Arabic: راس محمد Rās Maḥammad, IPA: [ɾɑːs mæˈħæmmæd]; Arabic: رأس محمد Ra's Muḥammad) is a national park in Egypt at the southern extreme of the Sinai Peninsula, overlooking the Gulf of Suez on the west and the Gulf of Aqaba to the east.[1] The park is becoming a center of eco-tourism in the region.[2]",South Sinai Governorate,,,,"Ras Muhammad (Egyptian Arabic: راس محمد Rās Maḥammad, IPA: [ɾɑːs mæˈħæmmæd]; Arabic: رأس محمد Ra's Muḥammad) is a national park in Egypt at the southern extreme of the Sinai Peninsula, overlooking the Gulf of Suez on the west and the Gulf of Aqaba to the east.[1] The park is becoming a center of eco-tourism in the region.[2]",https://en.wikipedia.org/wiki/Ras_Muhammad_National_Park
Saint Katherine Protectorate,"St Katherine Protectorate is an Egyptian national park in the south of Sinai. It encloses most of the mountainous area of central South Sinai, including the country's highest mountain, Mount Catherine at 2,629 metres (8,625 ft) above sea level.[1]",,,,,"St Katherine Protectorate is an Egyptian national park in the south of Sinai. It encloses most of the mountainous area of central South Sinai, including the country's highest mountain, Mount Catherine at 2,629 metres (8,625 ft) above sea level.[1]",https://en.wikipedia.org/wiki/Saint_Katherine_Protectorate
Sannur Cave,"28°37′23″N 31°17′11″E﻿ / ﻿28.62306°N 31.28639°E﻿ / 28.62306; 31.28639
Sannur Cave is a visually dynamic[1] karst-based subterranean environment, made from groundwater traveling inside the Eocene-era limestone of Galala Plateau, Egypt.[2] The Sunnur area is dated at approximately 65-million years,[3] and is considered an important geological heritage.[4] It is believed to be the longest cave in Egypt.",,,,,"28°37′23″N 31°17′11″E﻿ / ﻿28.62306°N 31.28639°E﻿ / 28.62306; 31.28639
Sannur Cave is a visually dynamic[1] karst-based subterranean environment, made from groundwater traveling inside the Eocene-era limestone of Galala Plateau, Egypt.[2] The Sunnur area is dated at approximately 65-million years,[3] and is considered an important geological heritage.[4] It is believed to be the longest cave in Egypt.",https://en.wikipedia.org/wiki/Sannur_Cave
Siwa Oasis,"The Siwa Oasis (Arabic: واحة سيوة Wāḥat Sīwah [ˈwæːħet ˈsiːwæ]) is an urban oasis in Egypt. It is situated between the Qattara Depression and the Great Sand Sea in the Western Desert, 50 kilometres (31 mi) east of the Egypt–Libya border and 560 kilometres (350 mi) from the Egyptian capital city of Cairo.[1][2][3] It is famed from its role in ancient Egypt as the home to an oracle of Amun, the ruins of which are a popular tourist attraction, giving it the ancient name Oasis of Amun-Ra, after the major Egyptian deity.[4]",,,,,,https://en.wikipedia.org/wiki/Siwa_Oasis
"Taba, Egypt","Taba (Egyptian Arabic: طابا Ṭābā, IPA: [ˈtˤɑːbɑ]) is a town in the South Sinai of Egypt, near the northern tip of the Gulf of Aqaba. Taba is the location of one of Egypt's busiest border crossings. It is the northernmost resort of Egypt's Red Sea Riviera.[1]",,,,,"Taba (Egyptian Arabic: طابا Ṭābā, IPA: [ˈtˤɑːbɑ]) is a town in the South Sinai of Egypt, near the northern tip of the Gulf of Aqaba. Taba is the location of one of Egypt's busiest border crossings. It is the northernmost resort of Egypt's Red Sea Riviera.[1]","https://en.wikipedia.org/wiki/Taba,_Egypt"
Wadi Allaqi,"Wadi Allaqi, (Arabic: وادي العلاقي) also transliterated as Wadi Allaqui or Wadi Alalaqi, is a wadi (dry river) in southern Egypt. It begins in Sudan below the Halaib Triangle, and its mouth is south of Aswan on the eastern shore of Lake Nasser.[1]",,,,,"Wadi Allaqi, (Arabic: وادي العلاقي) also transliterated as Wadi Allaqui or Wadi Alalaqi, is a wadi (dry river) in southern Egypt. It begins in Sudan below the Halaib Triangle, and its mouth is south of Aswan on the eastern shore of Lake Nasser.[1]",https://en.wikipedia.org/wiki/Wadi_Allaqi
Wadi El Gemal National Park,"Wadi El Gemal National Park is a national park in Egypt. It is 7,450 square kilometres (2,880 sq mi) in size, including 4,770 square kilometres (1,840 sq mi) of land and 2,100 square kilometres (810 sq mi) of marine space.[1]",,,,,"Wadi El Gemal National Park is a national park in Egypt. It is 7,450 square kilometres (2,880 sq mi) in size, including 4,770 square kilometres (1,840 sq mi) of land and 2,100 square kilometres (810 sq mi) of marine space.[1]",https://en.wikipedia.org/wiki/Wadi_El_Gemal_National_Park
Wadi El Rayan,"Wadi El Rayan is a unique nature protectorate in Faiyum Governorate, Egypt, under the supervision of the Ministry of Environmental Affairs (EEAA).","Faiyum Governorate, Egypt",,,,"Wadi El Rayan is a unique nature protectorate in Faiyum Governorate, Egypt, under the supervision of the Ministry of Environmental Affairs (EEAA).",https://en.wikipedia.org/wiki/Wadi_El_Rayan
White Desert National Park,"Sahara el Beyda, the White Desert Protected Area, is a national park in Egypt, first established as a protected area in 2002. It is located in the Farafra depression, 45 km (28 mi) north of the town of Qasr Al Farafra. Part of the park is in the Farafra Oasis (New Valley Governorate).[1]",570 km (350 mi) southwest of Cairo,,,,"Sahara el Beyda, the White Desert Protected Area, is a national park in Egypt, first established as a protected area in 2002. It is located in the Farafra depression, 45 km (28 mi) north of the town of Qasr Al Farafra. Part of the park is in the Farafra Oasis (New Valley Governorate).[1]",https://en.wikipedia.org/wiki/White_Desert_National_Park
